name,address,lat,lng,rating,userRatingCount,priceLevel,website
Los Güeros de Miramontes,"Calle de Miramontes & Calzada de las Brujas, Coapa, Equipamiento Plaza Coapa, Tlalpan, 14300 Ciudad de México, CDMX, Mexico",19.2966184,-99.1254648,3.2,31.0,,
Taquería Titino y Menii,"Valle de Aragon 3ra Secc, 55280 Ecatepec de Morelos, Calle Tornes, Valle de Aragon 3ra Secc, 55280 Ciudad de México, Méx., Mexico",19.4984881,-99.039198,4.8,31.0,,
Cochinita Pibil las dos hermanas,"Tlaltelolco 5, San Juan Ixhuatepec, 54180 Tlalnepantla, Méx., Mexico",19.5181432,-99.1090642,4.9,31.0,,
Tacos EL TEPO,"Av. Sta. Lucia 30, Olivar del Conde 1ra Secc, Álvaro Obregón, 01450 Ciudad de México, CDMX, Mexico",19.3720606,-99.2114185,4.7,31.0,,
Tacos Pa' Padrinos,"Av. de las Torres 107, La Esperanza, Iztapalapa, 09910 Ciudad de México, CDMX, Mexico",19.3084963,-99.0764167,4.1,31.0,,
Tacos Puercos,"C. Cam. a Nextengo, Plenitud, Azcapotzalco, 02770 Ciudad de México, CDMX, Mexico",19.4745953,-99.1962975,4.5,31.0,,https://m.facebook.com/Tacos-Puercos-101200698635466/
Tacos de tripa,"Isabel La Católica, Centro Histórico de la, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",19.4063844,-99.1397204,4.3,30.0,,
Tacos panuchin,"Gral. Anaya, Sta Bárbara, Iztapalapa, 09000 Ciudad de México, CDMX, Mexico",19.3611266,-99.0998839,4.7,30.0,,
TAQUERIA LOS COMPADRES,"Mz 23 Lt. 86, Eva Samano de López Mateos, Amp. Gabriel Hernández, Gustavo A. Madero, 07089 Ciudad de México, CDMX, Mexico",19.5065938,-99.1036095,4.7,30.0,,
"Tacos ""Los Güeros""","Fte. Vip´s Torres, Lindavista, Nueva Industrial Vallejo, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",19.5064135,-99.1468286,4.6,30.0,,
tacos el guero,"Periodistas, Prensa Nacional, 54170 Tlalnepantla, Méx., Mexico",19.5103368,-99.1665936,4.7,30.0,,
Tacos Gerardo,"Gral. Miguel Miramón 192, Martín Carrera, Gustavo A. Madero, 07070 Ciudad de México, CDMX, Mexico",19.4909617,-99.1054235,4.3,30.0,,
Taqueria Santiaguito Cuna Del Taco,"Miguel E. Schultz 7 Accesoria D, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico",19.4409147,-99.1599136,4.8,30.0,,
Tacos al Pastor El Chaparrito,"Parral 962, San Felipe de Jesús, Gustavo A. Madero, 07510 Ciudad de México, CDMX, Mexico",19.492939600000003,-99.0711944,4.5,30.0,,
Taqueria el jefe,"Calle universidad, Col. Federal, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, Mexico",19.420008,-99.0887388,4.2,30.0,,https://www.facebook.com/profile.php?id=100090045229043&mibextid=ZbWKwL
"Tacos ""Los fénix de río bamba""","Riobamba 639-657, Magdalena de las Salinas, Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",19.4838791,-99.1309614,4.8,30.0,,
TACOS HAMBURGUESAS Y BURRITOS LOS REGIOS,"Luis Spota 62, San Simón, Benito Juárez, 03660 Ciudad de México, CDMX, Mexico",19.3766265,-99.1432772,4.0,29.0,,
Copacabana Express,"Filosofía y Letras, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, Mexico",19.3344498,-99.1779624,3.1,29.0,,
"Tacos de canasta ""Los Abuelos""""","Bartoloache y parroquia, Col del Valle Sur, Benito Juárez, 03104 Ciudad de México, CDMX, Mexico",19.3701357,-99.1741519,4.4,29.0,,https://www.facebook.com/Tacos-de-canasta-los-abuelos-107097874433775/?ref=page_internal
"Antojitos Mexicanos ""Hilda""","San Felipe de Jesús Nte, 07510 Mexico City, CDMX, Mexico",19.4977578,-99.0665475,4.6,29.0,,
Tacos Manolo,"Av. Revolución 1507, Campestre, Álvaro Obregón, 01040 Ciudad de México, CDMX, Mexico",19.3530289,-99.1904298,4.0,29.0,,
Tacos y Algo Más La Güera,"C. Plateros 59, colonia metropolitana, 1a sección, 57730 Cdad. Nezahualcóyotl, Méx., Mexico",19.3934437,-99.0365163,3.9,28.0,,https://www.facebook.com/tacosyalgomaslaguera?mibextid=kFxxJD
